MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
Indoles,0.19910514541387025,1,178,1,894
Hypotension,0.19910514541387025,1,178,1,894
Intersectoral Collaboration,0.19910514541387025,1,178,1,894
Outcome Assessment (Health Care),0.20088936936626955,4,178,16,894
Referral and Consultation,0.20103193339893607,3,178,10,894
"Dose-Response Relationship, Drug",0.20103193339893607,3,178,10,894
Stroke,0.2039337014253021,2,178,5,894
Motor Skills,0.2039337014253021,2,178,5,894
Substance-Related Disorders,0.2039337014253021,2,178,5,894
Attitude to Health,0.2039337014253021,2,178,5,894
"Anti-Inflammatory Agents, Non-Steroidal",0.2039337014253021,2,178,5,894
Athletic Injuries,0.2039337014253021,2,178,5,894
Cross Infection,0.2039337014253021,2,178,5,894
Acute Kidney Injury,0.2039337014253021,2,178,5,894
Angiogenesis Inhibitors,0.2039337014253021,2,178,5,894
Cluster Analysis,0.2039337014253021,2,178,5,894
Internet,0.2039337014253021,2,178,5,894
Ethnic Groups,0.2039337014253021,2,178,5,894
"Mice, Inbred C57BL",0.2071427580209645,1,178,12,894
Longitudinal Studies,0.21063991349005728,4,178,17,894
Pilot Projects,0.21063991349005728,4,178,17,894
Gene Expression Regulation,0.2206765545384744,3,178,19,894
Transcription Factors,0.22169797067000882,3,178,11,894
Developmental Disabilities,0.22169797067000882,3,178,11,894
"Infant, Premature",0.23285506242586934,2,178,15,894
Antipsychotic Agents,0.23285506242586934,2,178,15,894
Odds Ratio,0.23701345901754056,3,178,12,894
"Health Knowledge, Attitudes, Practice",0.2374855534298428,1,178,11,894
Qualitative Research,0.2374855534298428,1,178,11,894
"Models, Statistical",0.2453398129070423,2,178,6,894
Adrenal Cortex Hormones,0.2453398129070423,2,178,6,894
Multiple Sclerosis,0.2453398129070423,2,178,6,894
Health Status,0.2453398129070423,2,178,6,894
Hydrocortisone,0.2453398129070423,2,178,6,894
Parents,0.2469830727698657,3,178,13,894
Genetic Counseling,0.2469830727698657,3,178,13,894
Cell Line,0.25225965096135844,2,178,14,894
Rural Population,0.2699462893557683,1,178,10,894
"Promoter Regions, Genetic",0.2753994656596168,2,178,7,894
"Polymorphism, Genetic",0.2753994656596168,2,178,7,894
Residence Characteristics,0.2753994656596168,2,178,7,894
Alzheimer Disease,0.2753994656596168,2,178,7,894
"Diabetes Mellitus, Type 1",0.2753994656596168,2,178,7,894
Healthcare Disparities,0.2753994656596168,2,178,7,894
Prenatal Diagnosis,0.2753994656596168,2,178,7,894
Algorithms,0.2753994656596168,2,178,7,894
Disease Management,0.2753994656596168,2,178,7,894
Biomedical Research,0.2753994656596168,2,178,7,894
Multivariate Analysis,0.28562815146375203,2,178,12,894
Nutritional Status,0.28562815146375203,2,178,12,894
Anti-Bacterial Agents,0.28562815146375203,2,178,12,894
Interviews as Topic,0.2943390005020482,2,178,8,894
Genetic Variation,0.2943390005020482,2,178,8,894
ROC Curve,0.2943390005020482,2,178,8,894
"Aged, 80 and over",0.29727682430751184,2,178,11,894
Disease Progression,0.29727682430751184,2,178,11,894
Predictive Value of Tests,0.29727682430751184,2,178,11,894
Protein Binding,0.29727682430751184,2,178,11,894
Randomized Controlled Trials as Topic,0.3032612404398723,2,178,9,894
Patient Selection,0.3032612404398723,2,178,9,894
Prenatal Exposure Delayed Effects,0.3032612404398723,2,178,9,894
DNA,0.30368957552523934,2,178,10,894
"Influenza, Human",0.30368957552523934,1,178,9,894
Sex Factors,0.30368957552523934,2,178,10,894
Pedigree,0.30368957552523934,1,178,9,894
Sensitivity and Specificity,0.30368957552523934,1,178,9,894
Depression,0.30368957552523934,1,178,9,894
Neonatal Screening,0.30368957552523934,1,178,9,894
Influenza Vaccines,0.30368957552523934,1,178,9,894
Physician-Patient Relations,0.3192817113467662,1,178,2,894
Fluoxetine,0.3192817113467662,1,178,2,894
Meals,0.3192817113467662,1,178,2,894
User-Computer Interface,0.3192817113467662,1,178,2,894
Deoxyribonuclease I,0.3192817113467662,1,178,2,894
Syringes,0.3192817113467662,1,178,2,894
"Oncogene Proteins, Fusion",0.3192817113467662,1,178,2,894
Facies,0.3192817113467662,1,178,2,894
"Protein Structure, Tertiary",0.3192817113467662,1,178,2,894
"RNA, Long Noncoding",0.3192817113467662,1,178,2,894
Diagnostic Errors,0.3192817113467662,1,178,2,894
Primary Dysautonomias,0.3192817113467662,1,178,2,894
Spleen,0.3192817113467662,1,178,2,894
Lymphocyte Count,0.3192817113467662,1,178,2,894
Behavior Therapy,0.3192817113467662,1,178,2,894
Poverty,0.3192817113467662,1,178,2,894
Infant Nutritional Physiological Phenomena,0.3192817113467662,1,178,2,894
Headache,0.3192817113467662,1,178,2,894
Career Choice,0.3192817113467662,1,178,2,894
Selection Bias,0.3192817113467662,1,178,2,894
Positron Emission Tomography Computed Tomography,0.3192817113467662,1,178,2,894
Lung Diseases,0.3192817113467662,1,178,2,894
Ventricular Outflow Obstruction,0.3192817113467662,1,178,2,894
Cleft Lip,0.3192817113467662,1,178,2,894
"Monitoring, Ambulatory",0.3192817113467662,1,178,2,894
Interleukins,0.3192817113467662,1,178,2,894
United States Food and Drug Administration,0.3192817113467662,1,178,2,894
Spatial Analysis,0.3192817113467662,1,178,2,894
Mitral Valve,0.3192817113467662,1,178,2,894
Evaluation Studies as Topic,0.3192817113467662,1,178,2,894
Toll-Like Receptor 4,0.3192817113467662,1,178,2,894
Social Learning,0.3192817113467662,1,178,2,894
Health Promotion,0.3192817113467662,1,178,2,894
Intraoperative Neurophysiological Monitoring,0.3192817113467662,1,178,2,894
5-Hydroxytryptophan,0.3192817113467662,1,178,2,894
Interprofessional Relations,0.3192817113467662,1,178,2,894
Safety,0.3192817113467662,1,178,2,894
Amnion,0.3192817113467662,1,178,2,894
Drug Combinations,0.3192817113467662,1,178,2,894
Mental Recall,0.3192817113467662,1,178,2,894
Textbooks as Topic,0.3192817113467662,1,178,2,894
Patient Transfer,0.3192817113467662,1,178,2,894
Eye,0.3192817113467662,1,178,2,894
"Ethics, Research",0.3192817113467662,1,178,2,894
Feeding Behavior,0.3192817113467662,1,178,2,894
X Chromosome Inactivation,0.3192817113467662,1,178,2,894
Fatty Acids,0.3192817113467662,1,178,2,894
Nervous System Diseases,0.3192817113467662,1,178,2,894
Government Regulation,0.3192817113467662,1,178,2,894
Carbidopa,0.3192817113467662,1,178,2,894
"Pain, Postoperative",0.3192817113467662,1,178,2,894
Renal Dialysis,0.3192817113467662,1,178,2,894
"Fatty Acids, Unsaturated",0.3192817113467662,1,178,2,894
Rhizotomy,0.3192817113467662,1,178,2,894
Glioma,0.3192817113467662,1,178,2,894
International Classification of Diseases,0.3192817113467662,1,178,2,894
Proteins,0.3192817113467662,1,178,2,894
Parenting,0.3192817113467662,1,178,2,894
Nutrition Surveys,0.3192817113467662,1,178,2,894
Healthy Diet,0.3192817113467662,1,178,2,894
Peritoneal Diseases,0.3192817113467662,1,178,2,894
Cardiopulmonary Resuscitation,0.3192817113467662,1,178,2,894
Patient Reported Outcome Measures,0.3192817113467662,1,178,2,894
"Antibiotics, Antineoplastic",0.3192817113467662,1,178,2,894
HEK293 Cells,0.3192817113467662,1,178,2,894
Gene Duplication,0.3192817113467662,1,178,2,894
Waiting Lists,0.3192817113467662,1,178,2,894
Endoscopy,0.3192817113467662,1,178,2,894
Needs Assessment,0.3192817113467662,1,178,2,894
Ethanol,0.3192817113467662,1,178,2,894
Lymphopenia,0.3192817113467662,1,178,2,894
"Models, Genetic",0.3192817113467662,1,178,2,894
Healthy Volunteers,0.3192817113467662,1,178,2,894
High-Throughput Screening Assays,0.3192817113467662,1,178,2,894
Neural Networks (Computer),0.3192817113467662,1,178,2,894
Health Resources,0.3192817113467662,1,178,2,894
Problem Solving,0.3192817113467662,1,178,2,894
Observer Variation,0.3192817113467662,1,178,2,894
Ependymoma,0.3192817113467662,1,178,2,894
Chromatin Immunoprecipitation,0.3192817113467662,1,178,2,894
Periodicals as Topic,0.3192817113467662,1,178,2,894
Delivery of Health Care,0.3192817113467662,1,178,2,894
Activities of Daily Living,0.3192817113467662,1,178,2,894
Wound Healing,0.3192817113467662,1,178,2,894
Communicable Disease Control,0.3192817113467662,1,178,2,894
Patient Outcome Assessment,0.3192817113467662,1,178,2,894
"Parenteral Nutrition, Total",0.3192817113467662,1,178,2,894
Anesthetics,0.3192817113467662,1,178,2,894
Incidental Findings,0.3192817113467662,1,178,2,894
"Anesthesia, General",0.3192817113467662,1,178,2,894
Probability,0.3192817113467662,1,178,2,894
"Hernias, Diaphragmatic, Congenital",0.3192817113467662,1,178,2,894
Transcription Initiation Site,0.3192817113467662,1,178,2,894
Marijuana Smoking,0.3192817113467662,1,178,2,894
Motor Activity,0.3192817113467662,1,178,2,894
Nasal Mucosa,0.3192817113467662,1,178,2,894
Molecular Targeted Therapy,0.3192817113467662,1,178,2,894
Penetrance,0.3192817113467662,1,178,2,894
Brain Concussion,0.3373376761201844,1,178,8,894
Double-Blind Method,0.3373376761201844,1,178,8,894
Serotonin Uptake Inhibitors,0.3373376761201844,1,178,8,894
Overweight,0.3373376761201844,1,178,8,894
Kaplan-Meier Estimate,0.3373376761201844,1,178,8,894
Child Behavior,0.3373376761201844,1,178,8,894
Patient Discharge,0.3373376761201844,1,178,8,894
Early Diagnosis,0.3687552167306734,1,178,7,894
Regression Analysis,0.3687552167306734,1,178,7,894
Kidney,0.3687552167306734,1,178,7,894
Body Weight,0.3687552167306734,1,178,7,894
Depressive Disorder,0.3687552167306734,1,178,7,894
Asian Continental Ancestry Group,0.3687552167306734,1,178,7,894
Cognition,0.3687552167306734,1,178,7,894
"Models, Theoretical",0.3687552167306734,1,178,7,894
"Models, Biological",0.3687552167306734,1,178,7,894
Parity,0.3687552167306734,1,178,7,894
"Renal Insufficiency, Chronic",0.38388972580650976,1,178,3,894
Memory,0.38388972580650976,1,178,3,894
Haplotypes,0.38388972580650976,1,178,3,894
Triage,0.38388972580650976,1,178,3,894
Cross-Over Studies,0.38388972580650976,1,178,3,894
Decision Support Techniques,0.38388972580650976,1,178,3,894
"Transcription, Genetic",0.38388972580650976,1,178,3,894
"Mutation, Missense",0.38388972580650976,1,178,3,894
Central Nervous System Neoplasms,0.38388972580650976,1,178,3,894
Brain Injuries,0.38388972580650976,1,178,3,894
Transfection,0.38388972580650976,1,178,3,894
Polycomb Repressive Complex 2,0.38388972580650976,1,178,3,894
Patient Education as Topic,0.38388972580650976,1,178,3,894
Blood Transfusion,0.38388972580650976,1,178,3,894
"Diabetes Mellitus, Type 2",0.38388972580650976,1,178,3,894
"Data Interpretation, Statistical",0.38388972580650976,1,178,3,894
Focus Groups,0.38388972580650976,1,178,3,894
Delayed Diagnosis,0.38388972580650976,1,178,3,894
Ataxia,0.38388972580650976,1,178,3,894
Diabetes Mellitus,0.38388972580650976,1,178,3,894
Pituitary-Adrenal System,0.38388972580650976,1,178,3,894
Glucocorticoids,0.38388972580650976,1,178,3,894
Fetal Death,0.38388972580650976,1,178,3,894
Heterozygote,0.38388972580650976,1,178,3,894
Lung,0.38388972580650976,1,178,3,894
Hypothalamo-Hypophyseal System,0.38388972580650976,1,178,3,894
Base Sequence,0.38388972580650976,1,178,3,894
Exons,0.38388972580650976,1,178,3,894
Community Participation,0.38388972580650976,1,178,3,894
Athletes,0.38388972580650976,1,178,3,894
Psychological Theory,0.38388972580650976,1,178,3,894
"Kidney Failure, Chronic",0.38388972580650976,1,178,3,894
"Leukemia, Myeloid, Acute",0.38388972580650976,1,178,3,894
Patient Satisfaction,0.38388972580650976,1,178,3,894
Patient Readmission,0.38388972580650976,1,178,3,894
Alcohol Drinking,0.38388972580650976,1,178,3,894
"Infant, Newborn, Diseases",0.38388972580650976,1,178,3,894
HeLa Cells,0.38388972580650976,1,178,3,894
RNA Interference,0.38388972580650976,1,178,3,894
Liver,0.38388972580650976,1,178,3,894
Pain Measurement,0.3947614616718963,1,178,6,894
Maternal Age,0.3947614616718963,1,178,6,894
Comorbidity,0.3947614616718963,1,178,6,894
Obstetrical Forceps,0.3947614616718963,1,178,6,894
Attention,0.3947614616718963,1,178,6,894
Syndrome,0.3947614616718963,1,178,6,894
Recurrence,0.3947614616718963,1,178,6,894
Gene Expression Profiling,0.3947614616718963,1,178,6,894
Postpartum Period,0.3947614616718963,1,178,6,894
Adolescent Behavior,0.41017173845992966,1,178,4,894
"Genome, Human",0.41017173845992966,1,178,4,894
Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.41017173845992966,1,178,4,894
Combined Modality Therapy,0.41017173845992966,1,178,4,894
Clinical Protocols,0.41017173845992966,1,178,4,894
Docosahexaenoic Acids,0.41017173845992966,1,178,4,894
Parenteral Nutrition,0.41017173845992966,1,178,4,894
Health Surveys,0.41017173845992966,1,178,4,894
Transposition of Great Vessels,0.41017173845992966,1,178,4,894
Cell Survival,0.41017173845992966,1,178,4,894
Computational Biology,0.41017173845992966,1,178,4,894
Age of Onset,0.41017173845992966,1,178,4,894
Adrenal Insufficiency,0.41017173845992966,1,178,4,894
Patient Compliance,0.41017173845992966,1,178,4,894
"Echocardiography, Doppler",0.41017173845992966,1,178,4,894
Clinical Decision-Making,0.41017173845992966,1,178,4,894
"Infant, Extremely Premature",0.41017173845992966,1,178,4,894
Interleukin-10,0.41017173845992966,1,178,4,894
Consensus,0.41017173845992966,1,178,4,894
"Adaptation, Psychological",0.41017173845992966,1,178,4,894
"Diagnosis, Differential",0.41017173845992966,1,178,4,894
DNA Mutational Analysis,0.41017173845992966,1,178,4,894
Program Evaluation,0.41017173845992966,1,178,4,894
Attitude of Health Personnel,0.41017173845992966,1,178,4,894
Urban Population,0.41017173845992966,1,178,4,894
Erythrocytes,0.41017173845992966,1,178,4,894
Echocardiography,0.41017173845992966,1,178,4,894
Immunosuppressive Agents,0.41017173845992966,1,178,4,894
Learning,0.41017173845992966,1,178,4,894
Neuroprotective Agents,0.41017173845992966,1,178,4,894
European Continental Ancestry Group,0.41017173845992966,1,178,4,894
Electroencephalography,0.41017173845992966,1,178,4,894
Gene Deletion,0.41017173845992966,1,178,4,894
"Infant, Premature, Diseases",0.41017173845992966,1,178,4,894
Oxygen,0.41017173845992966,1,178,4,894
Oximetry,0.410747822362261,1,178,5,894
Bone Marrow Transplantation,0.410747822362261,1,178,5,894
Cardiovascular Diseases,0.410747822362261,1,178,5,894
Histones,0.410747822362261,1,178,5,894
Communicable Diseases,0.410747822362261,1,178,5,894
"Drug Therapy, Combination",0.410747822362261,1,178,5,894
"Abnormalities, Multiple",0.410747822362261,1,178,5,894
Caregivers,0.410747822362261,1,178,5,894
DNA Copy Number Variations,0.410747822362261,1,178,5,894
Genetic Markers,0.410747822362261,1,178,5,894
Survivors,0.410747822362261,1,178,5,894
Cardiac Surgical Procedures,0.410747822362261,1,178,5,894
Guideline Adherence,0.410747822362261,1,178,5,894
Fluid Therapy,0.410747822362261,1,178,5,894
Critical Illness,0.410747822362261,1,178,5,894
Anti-Inflammatory Agents,0.410747822362261,1,178,5,894
Gene Expression,0.410747822362261,1,178,5,894
Blood Pressure,0.410747822362261,1,178,5,894
DNA-Binding Proteins,0.410747822362261,1,178,5,894
